trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
100,False,"{'a': 0.001, 'e': 1.0}",20,14,9.30146524358544,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.001, 'e': 1.0}",20,0,-56.015594956561976,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
102,False,"{'a': 0.001, 'e': 1.0}",30,0,-140.37203462410258,"{0: 17, 1: 6, 2: 5, 3: 0, 4: 2}",0
103,False,"{'a': 0.001, 'e': 1.0}",25,0,-83.32264508872971,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
104,False,"{'a': 0.001, 'e': 1.0}",25,0,-145.60704935880432,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
105,False,"{'a': 0.001, 'e': 1.0}",20,0,-90.50033586185137,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
106,False,"{'a': 0.001, 'e': 1.0}",25,0,-66.84058853130826,"{0: 18, 1: 0, 2: 5, 3: 2, 4: 0}",0
107,False,"{'a': 0.001, 'e': 1.0}",20,0,-130.08249516825913,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
108,False,"{'a': 0.001, 'e': 1.0}",25,1,-286.36937858811996,"{0: 6, 1: 5, 2: 5, 3: 5, 4: 3}",1
109,False,"{'a': 0.001, 'e': 1.0}",30,0,-224.2825305951735,"{0: 17, 1: 1, 2: 8, 3: 0, 4: 4}",0
110,False,"{'a': 0.001, 'e': 1.0}",25,0,-121.22137430981222,"{0: 17, 1: 1, 2: 3, 3: 3, 4: 1}",0
111,False,"{'a': 0.001, 'e': 1.0}",25,8,2.129522868513752,"{0: 14, 1: 3, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.001, 'e': 1.0}",30,0,-115.4897279078595,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
113,False,"{'a': 0.001, 'e': 1.0}",25,0,-149.3198755540176,"{0: 14, 1: 1, 2: 8, 3: 0, 4: 2}",0
114,False,"{'a': 0.001, 'e': 1.0}",30,11,-118.69557252873264,"{0: 11, 1: 0, 2: 5, 3: 2, 4: 1}",1
115,False,"{'a': 0.001, 'e': 1.0}",20,0,-84.0266976194286,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
116,False,"{'a': 0.001, 'e': 1.0}",20,0,-202.6600030152924,"{0: 10, 1: 1, 2: 3, 3: 3, 4: 3}",0
117,False,"{'a': 0.001, 'e': 1.0}",20,0,-193.7587363314934,"{0: 10, 1: 1, 2: 4, 3: 2, 4: 3}",0
118,False,"{'a': 0.001, 'e': 1.0}",20,0,-66.45995419992293,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
119,False,"{'a': 0.001, 'e': 1.0}",20,0,-113.67675377382291,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",0
120,False,"{'a': 0.001, 'e': 1.0}",20,0,-96.79462208129111,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
121,False,"{'a': 0.001, 'e': 1.0}",25,0,-87.63143201309165,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
122,False,"{'a': 0.001, 'e': 1.0}",25,2,-137.49761415153,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 3}",1
123,False,"{'a': 0.001, 'e': 1.0}",25,0,-133.8454441630507,"{0: 12, 1: 4, 2: 7, 3: 1, 4: 1}",0
124,False,"{'a': 0.001, 'e': 1.0}",20,0,-108.45972082047356,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
125,False,"{'a': 0.001, 'e': 1.0}",20,0,-5.885731130472548,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
